date_raw,date_parts,date_str,date_dt
2025/05,"['2025', '05']",2025-05,2025-05-01
2025/08/23,"['2025', '08', '23']",2025-08-23,2025-08-23
2025/07,"['2025', '07']",2025-07,2025-07-01
05/08/2025,"['05', '08', '2025']",05-08-2025,2025-05-08
2024/10,"['2024', '10']",2024-10,2024-10-01
2024-12-02,"['2024', '12', '02']",2024-12-02,2024-12-02
2026-02-30,"['2026', '02', '30']",2026-02-30,
2024.07,"['2024', '07']",2024-07,2024-07-01
2025년12월21일,"['2025', '12', '21']",2025-12-21,2025-12-21
2025년08월06일,"['2025', '08', '06']",2025-08-06,2025-08-06
2024/11,"['2024', '11']",2024-11,2024-11-01
2025.06,"['2025', '06']",2025-06,2025-06-01
2024/03/05,"['2024', '03', '05']",2024-03-05,2024-03-05
2026.03,"['2026', '03']",2026-03,2026-03-01
2025/03/18,"['2025', '03', '18']",2025-03-18,2025-03-18
2025/03/14,"['2025', '03', '14']",2025-03-14,2025-03-14
2025.05,"['2025', '05']",2025-05,2025-05-01
12/17/2024,"['12', '17', '2024']",12-17-2024,2024-12-17
2024년07월24일,"['2024', '07', '24']",2024-07-24,2024-07-24
2025-04-10,"['2025', '04', '10']",2025-04-10,2025-04-10
2024-01,"['2024', '01']",2024-01,2024-01-01
2026-13-40,"['2026', '13', '40']",2026-13-40,
2024-04,"['2024', '04']",2024-04,2024-04-01
2024년05월13일,"['2024', '05', '13']",2024-05-13,2024-05-13
10/06/2025,"['10', '06', '2025']",10-06-2025,2025-10-06
2024-11,"['2024', '11']",2024-11,2024-11-01
2024/11,"['2024', '11']",2024-11,2024-11-01
2025.03,"['2025', '03']",2025-03,2025-03-01
20250609,['20250609'],20250609,2025-06-09
2025.09.10,"['2025', '09', '10']",2025-09-10,2025-09-10
2024/06,"['2024', '06']",2024-06,2024-06-01
2025-07-25,"['2025', '07', '25']",2025-07-25,2025-07-25
2024-01-24,"['2024', '01', '24']",2024-01-24,2024-01-24
2025/05/01,"['2025', '05', '01']",2025-05-01,2025-05-01
01/30/2025,"['01', '30', '2025']",01-30-2025,2025-01-30
2026/01/30,"['2026', '01', '30']",2026-01-30,2026-01-30
2024.01.08,"['2024', '01', '08']",2024-01-08,2024-01-08
2026-02-30,"['2026', '02', '30']",2026-02-30,
2024/07/06,"['2024', '07', '06']",2024-07-06,2024-07-06
2024.08,"['2024', '08']",2024-08,2024-08-01
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
01/12/2024,"['01', '12', '2024']",01-12-2024,2024-01-12
2025-09-04,"['2025', '09', '04']",2025-09-04,2025-09-04
2024.04.08,"['2024', '04', '08']",2024-04-08,2024-04-08
2024.11.27,"['2024', '11', '27']",2024-11-27,2024-11-27
2025/05/26,"['2025', '05', '26']",2025-05-26,2025-05-26
2025.11,"['2025', '11']",2025-11,2025-11-01
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026.01,"['2026', '01']",2026-01,2026-01-01
2024년02월25일,"['2024', '02', '25']",2024-02-25,2024-02-25
20240626,['20240626'],20240626,2024-06-26
2025년10월12일,"['2025', '10', '12']",2025-10-12,2025-10-12
03/26/2024,"['03', '26', '2024']",03-26-2024,2024-03-26
2024-07-13,"['2024', '07', '13']",2024-07-13,2024-07-13
2024/05,"['2024', '05']",2024-05,2024-05-01
2024.09,"['2024', '09']",2024-09,2024-09-01
2024/04,"['2024', '04']",2024-04,2024-04-01
2026/01/15,"['2026', '01', '15']",2026-01-15,2026-01-15
2026-02-30,"['2026', '02', '30']",2026-02-30,
2024년07월09일,"['2024', '07', '09']",2024-07-09,2024-07-09
,,,
2024/02/12,"['2024', '02', '12']",2024-02-12,2024-02-12
2025/11,"['2025', '11']",2025-11,2025-11-01
2026년02월08일,"['2026', '02', '08']",2026-02-08,2026-02-08
2026-01,"['2026', '01']",2026-01,2026-01-01
2024.07.18,"['2024', '07', '18']",2024-07-18,2024-07-18
2024.08.04,"['2024', '08', '04']",2024-08-04,2024-08-04
2025.10,"['2025', '10']",2025-10,2025-10-01
2024/10/24,"['2024', '10', '24']",2024-10-24,2024-10-24
,,,
2024.11.19,"['2024', '11', '19']",2024-11-19,2024-11-19
05/06/2024,"['05', '06', '2024']",05-06-2024,2024-05-06
2026.03.05,"['2026', '03', '05']",2026-03-05,2026-03-05
2026-02-30,"['2026', '02', '30']",2026-02-30,
2025.03,"['2025', '03']",2025-03,2025-03-01
2024-06-21,"['2024', '06', '21']",2024-06-21,2024-06-21
05/15/2025,"['05', '15', '2025']",05-15-2025,2025-05-15
,,,
2025/12,"['2025', '12']",2025-12,2025-12-01
2025/07/05,"['2025', '07', '05']",2025-07-05,2025-07-05
2026/99/99,"['2026', '99', '99']",2026-99-99,
06/15/2025,"['06', '15', '2025']",06-15-2025,2025-06-15
2024년11월02일,"['2024', '11', '02']",2024-11-02,2024-11-02
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026/03,"['2026', '03']",2026-03,2026-03-01
08/19/2024,"['08', '19', '2024']",08-19-2024,2024-08-19
08/08/2025,"['08', '08', '2025']",08-08-2025,2025-08-08
20240110,['20240110'],20240110,2024-01-10
2024.12,"['2024', '12']",2024-12,2024-12-01
2024-06-18,"['2024', '06', '18']",2024-06-18,2024-06-18
2026-02-02,"['2026', '02', '02']",2026-02-02,2026-02-02
20240516,['20240516'],20240516,2024-05-16
2024년09월28일,"['2024', '09', '28']",2024-09-28,2024-09-28
2024.12.24,"['2024', '12', '24']",2024-12-24,2024-12-24
2024년09월13일,"['2024', '09', '13']",2024-09-13,2024-09-13
2025년12월27일,"['2025', '12', '27']",2025-12-27,2025-12-27
2025.05.22,"['2025', '05', '22']",2025-05-22,2025-05-22
2025-09-03,"['2025', '09', '03']",2025-09-03,2025-09-03
2025/12/24,"['2025', '12', '24']",2025-12-24,2025-12-24
2024/05,"['2024', '05']",2024-05,2024-05-01
2024/11/07,"['2024', '11', '07']",2024-11-07,2024-11-07
2024년11월25일,"['2024', '11', '25']",2024-11-25,2024-11-25
20250105,['20250105'],20250105,2025-01-05
20240317,['20240317'],20240317,2024-03-17
2024/04,"['2024', '04']",2024-04,2024-04-01
2026년03월24일,"['2026', '03', '24']",2026-03-24,2026-03-24
2024-08-11,"['2024', '08', '11']",2024-08-11,2024-08-11
2025.10.16,"['2025', '10', '16']",2025-10-16,2025-10-16
07/16/2025,"['07', '16', '2025']",07-16-2025,2025-07-16
2026/03/07,"['2026', '03', '07']",2026-03-07,2026-03-07
2026/01,"['2026', '01']",2026-01,2026-01-01
2024/06,"['2024', '06']",2024-06,2024-06-01
2024-04-22,"['2024', '04', '22']",2024-04-22,2024-04-22
2024년03월28일,"['2024', '03', '28']",2024-03-28,2024-03-28
20240415,['20240415'],20240415,2024-04-15
2024년04월22일,"['2024', '04', '22']",2024-04-22,2024-04-22
20250314,['20250314'],20250314,2025-03-14
2024.06.01,"['2024', '06', '01']",2024-06-01,2024-06-01
2025-01,"['2025', '01']",2025-01,2025-01-01
2025년07월03일,"['2025', '07', '03']",2025-07-03,2025-07-03
2026/99/99,"['2026', '99', '99']",2026-99-99,
2025-03,"['2025', '03']",2025-03,2025-03-01
2025.04.26,"['2025', '04', '26']",2025-04-26,2025-04-26
2025/02,"['2025', '02']",2025-02,2025-02-01
2024년05월08일,"['2024', '05', '08']",2024-05-08,2024-05-08
2024/04/21,"['2024', '04', '21']",2024-04-21,2024-04-21
2024년02월03일,"['2024', '02', '03']",2024-02-03,2024-02-03
2025-02,"['2025', '02']",2025-02,2025-02-01
02/08/2024,"['02', '08', '2024']",02-08-2024,2024-02-08
20250915,['20250915'],20250915,2025-09-15
2025/09/13,"['2025', '09', '13']",2025-09-13,2025-09-13
06/22/2024,"['06', '22', '2024']",06-22-2024,2024-06-22
2025-05-14,"['2025', '05', '14']",2025-05-14,2025-05-14
2025-11-29,"['2025', '11', '29']",2025-11-29,2025-11-29
2024.12,"['2024', '12']",2024-12,2024-12-01
2025/05/02,"['2025', '05', '02']",2025-05-02,2025-05-02
2024-08-04,"['2024', '08', '04']",2024-08-04,2024-08-04
2025/04,"['2025', '04']",2025-04,2025-04-01
2026.03.13,"['2026', '03', '13']",2026-03-13,2026-03-13
abcd,[],,
2024/07,"['2024', '07']",2024-07,2024-07-01
01/17/2024,"['01', '17', '2024']",01-17-2024,2024-01-17
20240630,['20240630'],20240630,2024-06-30
,,,
20250410,['20250410'],20250410,2025-04-10
20240817,['20240817'],20240817,2024-08-17
31/31/2026,"['31', '31', '2026']",31-31-2026,
2025/10,"['2025', '10']",2025-10,2025-10-01
2024년11월26일,"['2024', '11', '26']",2024-11-26,2024-11-26
2026.01.30,"['2026', '01', '30']",2026-01-30,2026-01-30
2024-05-27,"['2024', '05', '27']",2024-05-27,2024-05-27
2024/07,"['2024', '07']",2024-07,2024-07-01
2024/02/02,"['2024', '02', '02']",2024-02-02,2024-02-02
2024-08-10,"['2024', '08', '10']",2024-08-10,2024-08-10
2025년02월13일,"['2025', '02', '13']",2025-02-13,2025-02-13
02/04/2026,"['02', '04', '2026']",02-04-2026,2026-02-04
20251022,['20251022'],20251022,2025-10-22
2024-01,"['2024', '01']",2024-01,2024-01-01
2024년11월23일,"['2024', '11', '23']",2024-11-23,2024-11-23
04/17/2025,"['04', '17', '2025']",04-17-2025,2025-04-17
01/10/2026,"['01', '10', '2026']",01-10-2026,2026-01-10
2024-08-17,"['2024', '08', '17']",2024-08-17,2024-08-17
2024/02/14,"['2024', '02', '14']",2024-02-14,2024-02-14
20250618,['20250618'],20250618,2025-06-18
abcd,[],,
2025/05/31,"['2025', '05', '31']",2025-05-31,2025-05-31
12/03/2025,"['12', '03', '2025']",12-03-2025,2025-12-03
20240501,['20240501'],20240501,2024-05-01
2026/01,"['2026', '01']",2026-01,2026-01-01
2024년04월23일,"['2024', '04', '23']",2024-04-23,2024-04-23
2024년06월24일,"['2024', '06', '24']",2024-06-24,2024-06-24
2024.06.19,"['2024', '06', '19']",2024-06-19,2024-06-19
2025년05월15일,"['2025', '05', '15']",2025-05-15,2025-05-15
07/12/2025,"['07', '12', '2025']",07-12-2025,2025-07-12
2026-01-15,"['2026', '01', '15']",2026-01-15,2026-01-15
20241007,['20241007'],20241007,2024-10-07
,,,
2024.05,"['2024', '05']",2024-05,2024-05-01
2025-03,"['2025', '03']",2025-03,2025-03-01
2024/07,"['2024', '07']",2024-07,2024-07-01
2024/06,"['2024', '06']",2024-06,2024-06-01
2025.10,"['2025', '10']",2025-10,2025-10-01
2025.02,"['2025', '02']",2025-02,2025-02-01
2024/02,"['2024', '02']",2024-02,2024-02-01
2026/99/99,"['2026', '99', '99']",2026-99-99,
2024.01,"['2024', '01']",2024-01,2024-01-01
2025-02-04,"['2025', '02', '04']",2025-02-04,2025-02-04
2024.07.08,"['2024', '07', '08']",2024-07-08,2024-07-08
2024.04,"['2024', '04']",2024-04,2024-04-01
2025.04,"['2025', '04']",2025-04,2025-04-01
2024-12,"['2024', '12']",2024-12,2024-12-01
2025-12,"['2025', '12']",2025-12,2025-12-01
2026년03월01일,"['2026', '03', '01']",2026-03-01,2026-03-01
2024.01.31,"['2024', '01', '31']",2024-01-31,2024-01-31
2024/07/15,"['2024', '07', '15']",2024-07-15,2024-07-15
20250430,['20250430'],20250430,2025-04-30
2024/11/01,"['2024', '11', '01']",2024-11-01,2024-11-01
,,,
2024년09월24일,"['2024', '09', '24']",2024-09-24,2024-09-24
2025/09/04,"['2025', '09', '04']",2025-09-04,2025-09-04
31/31/2026,"['31', '31', '2026']",31-31-2026,
2024-04,"['2024', '04']",2024-04,2024-04-01
2024-03-19,"['2024', '03', '19']",2024-03-19,2024-03-19
2024.07,"['2024', '07']",2024-07,2024-07-01
2024-02,"['2024', '02']",2024-02,2024-02-01
2026.03.17,"['2026', '03', '17']",2026-03-17,2026-03-17
2025/09,"['2025', '09']",2025-09,2025-09-01
2024-01,"['2024', '01']",2024-01,2024-01-01
01/08/2026,"['01', '08', '2026']",01-08-2026,2026-01-08
2024/10/07,"['2024', '10', '07']",2024-10-07,2024-10-07
11/24/2024,"['11', '24', '2024']",11-24-2024,2024-11-24
2024.03,"['2024', '03']",2024-03,2024-03-01
2024.02.09,"['2024', '02', '09']",2024-02-09,2024-02-09
20241227,['20241227'],20241227,2024-12-27
2024-05-26,"['2024', '05', '26']",2024-05-26,2024-05-26
2025-08-28,"['2025', '08', '28']",2025-08-28,2025-08-28
20250811,['20250811'],20250811,2025-08-11
2026-02,"['2026', '02']",2026-02,2026-02-01
2026/03,"['2026', '03']",2026-03,2026-03-01
2024.05,"['2024', '05']",2024-05,2024-05-01
2026-13-40,"['2026', '13', '40']",2026-13-40,
2024-04-20,"['2024', '04', '20']",2024-04-20,2024-04-20
2025.01,"['2025', '01']",2025-01,2025-01-01
2026.02.14,"['2026', '02', '14']",2026-02-14,2026-02-14
06/22/2024,"['06', '22', '2024']",06-22-2024,2024-06-22
2024.01,"['2024', '01']",2024-01,2024-01-01
2024.03.29,"['2024', '03', '29']",2024-03-29,2024-03-29
20251223,['20251223'],20251223,2025-12-23
2026.04.13,"['2026', '04', '13']",2026-04-13,2026-04-13
2024/09,"['2024', '09']",2024-09,2024-09-01
2024년04월08일,"['2024', '04', '08']",2024-04-08,2024-04-08
2025/05,"['2025', '05']",2025-05,2025-05-01
2024-09-23,"['2024', '09', '23']",2024-09-23,2024-09-23
2026-01-09,"['2026', '01', '09']",2026-01-09,2026-01-09
08/22/2024,"['08', '22', '2024']",08-22-2024,2024-08-22
2024-11-04,"['2024', '11', '04']",2024-11-04,2024-11-04
2025/12,"['2025', '12']",2025-12,2025-12-01
2025년04월14일,"['2025', '04', '14']",2025-04-14,2025-04-14
2026/01,"['2026', '01']",2026-01,2026-01-01
2025/10/07,"['2025', '10', '07']",2025-10-07,2025-10-07
2024-11,"['2024', '11']",2024-11,2024-11-01
20250509,['20250509'],20250509,2025-05-09
20251003,['20251003'],20251003,2025-10-03
2025년12월02일,"['2025', '12', '02']",2025-12-02,2025-12-02
abcd,[],,
2025년07월26일,"['2025', '07', '26']",2025-07-26,2025-07-26
2024/07/26,"['2024', '07', '26']",2024-07-26,2024-07-26
2025년04월29일,"['2025', '04', '29']",2025-04-29,2025-04-29
2025/05/27,"['2025', '05', '27']",2025-05-27,2025-05-27
2024.08.07,"['2024', '08', '07']",2024-08-07,2024-08-07
2025-04,"['2025', '04']",2025-04,2025-04-01
20240916,['20240916'],20240916,2024-09-16
2025.05.17,"['2025', '05', '17']",2025-05-17,2025-05-17
2024-03,"['2024', '03']",2024-03,2024-03-01
2026-02-30,"['2026', '02', '30']",2026-02-30,
2025-07,"['2025', '07']",2025-07,2025-07-01
2025.01,"['2025', '01']",2025-01,2025-01-01
07/11/2024,"['07', '11', '2024']",07-11-2024,2024-07-11
2025년07월04일,"['2025', '07', '04']",2025-07-04,2025-07-04
2024년09월21일,"['2024', '09', '21']",2024-09-21,2024-09-21
2024.01.09,"['2024', '01', '09']",2024-01-09,2024-01-09
09/06/2024,"['09', '06', '2024']",09-06-2024,2024-09-06
2025-02-14,"['2025', '02', '14']",2025-02-14,2025-02-14
2025/04,"['2025', '04']",2025-04,2025-04-01
2025-01-18,"['2025', '01', '18']",2025-01-18,2025-01-18
2024/05,"['2024', '05']",2024-05,2024-05-01
2024-08,"['2024', '08']",2024-08,2024-08-01
2024-04,"['2024', '04']",2024-04,2024-04-01
2024-03,"['2024', '03']",2024-03,2024-03-01
2024/09/21,"['2024', '09', '21']",2024-09-21,2024-09-21
2026-02-30,"['2026', '02', '30']",2026-02-30,
2024-10-30,"['2024', '10', '30']",2024-10-30,2024-10-30
2024.09.11,"['2024', '09', '11']",2024-09-11,2024-09-11
2024.02.09,"['2024', '02', '09']",2024-02-09,2024-02-09
2024/09/20,"['2024', '09', '20']",2024-09-20,2024-09-20
2026/02,"['2026', '02']",2026-02,2026-02-01
2026/03,"['2026', '03']",2026-03,2026-03-01
2025.12,"['2025', '12']",2025-12,2025-12-01
2025/11,"['2025', '11']",2025-11,2025-11-01
2025-04-23,"['2025', '04', '23']",2025-04-23,2025-04-23
2025/09/13,"['2025', '09', '13']",2025-09-13,2025-09-13
09/05/2025,"['09', '05', '2025']",09-05-2025,2025-09-05
20240104,['20240104'],20240104,2024-01-04
20250916,['20250916'],20250916,2025-09-16
2024.07.16,"['2024', '07', '16']",2024-07-16,2024-07-16
2025/05/27,"['2025', '05', '27']",2025-05-27,2025-05-27
20240923,['20240923'],20240923,2024-09-23
2025.06,"['2025', '06']",2025-06,2025-06-01
08/03/2024,"['08', '03', '2024']",08-03-2024,2024-08-03
2026-13-40,"['2026', '13', '40']",2026-13-40,
2025.12.12,"['2025', '12', '12']",2025-12-12,2025-12-12
20250604,['20250604'],20250604,2025-06-04
2025-01-23,"['2025', '01', '23']",2025-01-23,2025-01-23
20240113,['20240113'],20240113,2024-01-13
2024년09월10일,"['2024', '09', '10']",2024-09-10,2024-09-10
20240515,['20240515'],20240515,2024-05-15
2026-13-40,"['2026', '13', '40']",2026-13-40,
09/07/2025,"['09', '07', '2025']",09-07-2025,2025-09-07
2024.07,"['2024', '07']",2024-07,2024-07-01
08/06/2024,"['08', '06', '2024']",08-06-2024,2024-08-06
2024-06,"['2024', '06']",2024-06,2024-06-01
2024-12,"['2024', '12']",2024-12,2024-12-01
2024년07월26일,"['2024', '07', '26']",2024-07-26,2024-07-26
2026-13-40,"['2026', '13', '40']",2026-13-40,
2025/08,"['2025', '08']",2025-08,2025-08-01
2025년08월10일,"['2025', '08', '10']",2025-08-10,2025-08-10
2024.08.07,"['2024', '08', '07']",2024-08-07,2024-08-07
2026-03-28,"['2026', '03', '28']",2026-03-28,2026-03-28
2024/03/09,"['2024', '03', '09']",2024-03-09,2024-03-09
2026.01.26,"['2026', '01', '26']",2026-01-26,2026-01-26
2024/01,"['2024', '01']",2024-01,2024-01-01
07/30/2024,"['07', '30', '2024']",07-30-2024,2024-07-30
2024년10월04일,"['2024', '10', '04']",2024-10-04,2024-10-04
2025년02월12일,"['2025', '02', '12']",2025-02-12,2025-02-12
2024/11,"['2024', '11']",2024-11,2024-11-01
2025/03,"['2025', '03']",2025-03,2025-03-01
2024-10,"['2024', '10']",2024-10,2024-10-01
01/27/2026,"['01', '27', '2026']",01-27-2026,2026-01-27
2024/11,"['2024', '11']",2024-11,2024-11-01
2024-01,"['2024', '01']",2024-01,2024-01-01
2024.09.20,"['2024', '09', '20']",2024-09-20,2024-09-20
2026/01,"['2026', '01']",2026-01,2026-01-01
2025.11.08,"['2025', '11', '08']",2025-11-08,2025-11-08
2024/06,"['2024', '06']",2024-06,2024-06-01
20241013,['20241013'],20241013,2024-10-13
2026/99/99,"['2026', '99', '99']",2026-99-99,
20240325,['20240325'],20240325,2024-03-25
20251211,['20251211'],20251211,2025-12-11
02/14/2025,"['02', '14', '2025']",02-14-2025,2025-02-14
2024-03-09,"['2024', '03', '09']",2024-03-09,2024-03-09
2024/12/24,"['2024', '12', '24']",2024-12-24,2024-12-24
2025/06/20,"['2025', '06', '20']",2025-06-20,2025-06-20
2026-01,"['2026', '01']",2026-01,2026-01-01
2025년01월06일,"['2025', '01', '06']",2025-01-06,2025-01-06
2024-09,"['2024', '09']",2024-09,2024-09-01
20250119,['20250119'],20250119,2025-01-19
2024-02,"['2024', '02']",2024-02,2024-02-01
2024/12/02,"['2024', '12', '02']",2024-12-02,2024-12-02
10/12/2025,"['10', '12', '2025']",10-12-2025,2025-10-12
2026년01월27일,"['2026', '01', '27']",2026-01-27,2026-01-27
2025.01.05,"['2025', '01', '05']",2025-01-05,2025-01-05
,,,
2025-03-29,"['2025', '03', '29']",2025-03-29,2025-03-29
2024.01,"['2024', '01']",2024-01,2024-01-01
2024/09,"['2024', '09']",2024-09,2024-09-01
2025-07,"['2025', '07']",2025-07,2025-07-01
2025-07-26,"['2025', '07', '26']",2025-07-26,2025-07-26
2024/05,"['2024', '05']",2024-05,2024-05-01
31/31/2026,"['31', '31', '2026']",31-31-2026,
2025/05/21,"['2025', '05', '21']",2025-05-21,2025-05-21
2025/05/26,"['2025', '05', '26']",2025-05-26,2025-05-26
2025-06-25,"['2025', '06', '25']",2025-06-25,2025-06-25
2024-06,"['2024', '06']",2024-06,2024-06-01
2025.11.30,"['2025', '11', '30']",2025-11-30,2025-11-30
2024-03,"['2024', '03']",2024-03,2024-03-01
20241124,['20241124'],20241124,2024-11-24
,,,
2024/07/11,"['2024', '07', '11']",2024-07-11,2024-07-11
2025/12,"['2025', '12']",2025-12,2025-12-01
2025-10-17,"['2025', '10', '17']",2025-10-17,2025-10-17
2025/01,"['2025', '01']",2025-01,2025-01-01
2025/02,"['2025', '02']",2025-02,2025-02-01
2026.03,"['2026', '03']",2026-03,2026-03-01
2024/07/25,"['2024', '07', '25']",2024-07-25,2024-07-25
2024/03/26,"['2024', '03', '26']",2024-03-26,2024-03-26
2024-06,"['2024', '06']",2024-06,2024-06-01
2026.01,"['2026', '01']",2026-01,2026-01-01
2024/05/26,"['2024', '05', '26']",2024-05-26,2024-05-26
2025.01,"['2025', '01']",2025-01,2025-01-01
2026.01.18,"['2026', '01', '18']",2026-01-18,2026-01-18
2024년12월27일,"['2024', '12', '27']",2024-12-27,2024-12-27
2025년08월05일,"['2025', '08', '05']",2025-08-05,2025-08-05
2025.10,"['2025', '10']",2025-10,2025-10-01
2025.11.14,"['2025', '11', '14']",2025-11-14,2025-11-14
20250919,['20250919'],20250919,2025-09-19
2024/11/10,"['2024', '11', '10']",2024-11-10,2024-11-10
2025/09,"['2025', '09']",2025-09,2025-09-01
2025/04,"['2025', '04']",2025-04,2025-04-01
2025-11,"['2025', '11']",2025-11,2025-11-01
2026/03/16,"['2026', '03', '16']",2026-03-16,2026-03-16
2024년02월23일,"['2024', '02', '23']",2024-02-23,2024-02-23
,,,
12/20/2024,"['12', '20', '2024']",12-20-2024,2024-12-20
2024년04월19일,"['2024', '04', '19']",2024-04-19,2024-04-19
2025-04,"['2025', '04']",2025-04,2025-04-01
,,,
2024.03.22,"['2024', '03', '22']",2024-03-22,2024-03-22
08/29/2025,"['08', '29', '2025']",08-29-2025,2025-08-29
2026-01-20,"['2026', '01', '20']",2026-01-20,2026-01-20
2024.11,"['2024', '11']",2024-11,2024-11-01
2026/03,"['2026', '03']",2026-03,2026-03-01
31/31/2026,"['31', '31', '2026']",31-31-2026,
2024.07,"['2024', '07']",2024-07,2024-07-01
05/03/2025,"['05', '03', '2025']",05-03-2025,2025-05-03
2024-10,"['2024', '10']",2024-10,2024-10-01
2025-08,"['2025', '08']",2025-08,2025-08-01
2025.01.28,"['2025', '01', '28']",2025-01-28,2025-01-28
2024.03,"['2024', '03']",2024-03,2024-03-01
2024-10-29,"['2024', '10', '29']",2024-10-29,2024-10-29
05/27/2024,"['05', '27', '2024']",05-27-2024,2024-05-27
2025.09,"['2025', '09']",2025-09,2025-09-01
2024-11-30,"['2024', '11', '30']",2024-11-30,2024-11-30
2025년12월31일,"['2025', '12', '31']",2025-12-31,2025-12-31
2026/03,"['2026', '03']",2026-03,2026-03-01
2024-01-25,"['2024', '01', '25']",2024-01-25,2024-01-25
2025-05-19,"['2025', '05', '19']",2025-05-19,2025-05-19
20240604,['20240604'],20240604,2024-06-04
2025-04-07,"['2025', '04', '07']",2025-04-07,2025-04-07
2025.01,"['2025', '01']",2025-01,2025-01-01
2025-02,"['2025', '02']",2025-02,2025-02-01
01/12/2024,"['01', '12', '2024']",01-12-2024,2024-01-12
2025-10-31,"['2025', '10', '31']",2025-10-31,2025-10-31
,,,
abcd,[],,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2024-03,"['2024', '03']",2024-03,2024-03-01
02/24/2026,"['02', '24', '2026']",02-24-2026,2026-02-24
2025.11.27,"['2025', '11', '27']",2025-11-27,2025-11-27
abcd,[],,
2026-03,"['2026', '03']",2026-03,2026-03-01
20260323,['20260323'],20260323,2026-03-23
,,,
2025.08,"['2025', '08']",2025-08,2025-08-01
2024.12,"['2024', '12']",2024-12,2024-12-01
2024.09,"['2024', '09']",2024-09,2024-09-01
2026-13-40,"['2026', '13', '40']",2026-13-40,
2024/12,"['2024', '12']",2024-12,2024-12-01
2024.12,"['2024', '12']",2024-12,2024-12-01
2026/03,"['2026', '03']",2026-03,2026-03-01
2025년06월03일,"['2025', '06', '03']",2025-06-03,2025-06-03
20240428,['20240428'],20240428,2024-04-28
2024.09,"['2024', '09']",2024-09,2024-09-01
2026/02/17,"['2026', '02', '17']",2026-02-17,2026-02-17
2026-02-30,"['2026', '02', '30']",2026-02-30,
2025/05/24,"['2025', '05', '24']",2025-05-24,2025-05-24
2025-09,"['2025', '09']",2025-09,2025-09-01
abcd,[],,
2024년11월09일,"['2024', '11', '09']",2024-11-09,2024-11-09
2024.07,"['2024', '07']",2024-07,2024-07-01
01/04/2026,"['01', '04', '2026']",01-04-2026,2026-01-04
20250410,['20250410'],20250410,2025-04-10
2024-05,"['2024', '05']",2024-05,2024-05-01
,,,
2024년11월20일,"['2024', '11', '20']",2024-11-20,2024-11-20
2025년02월20일,"['2025', '02', '20']",2025-02-20,2025-02-20
2024/03,"['2024', '03']",2024-03,2024-03-01
20250526,['20250526'],20250526,2025-05-26
09/11/2024,"['09', '11', '2024']",09-11-2024,2024-09-11
2025/05,"['2025', '05']",2025-05,2025-05-01
2026년02월17일,"['2026', '02', '17']",2026-02-17,2026-02-17
2024.11.15,"['2024', '11', '15']",2024-11-15,2024-11-15
2026년04월07일,"['2026', '04', '07']",2026-04-07,2026-04-07
2024-09-08,"['2024', '09', '08']",2024-09-08,2024-09-08
2024년05월15일,"['2024', '05', '15']",2024-05-15,2024-05-15
2024.10,"['2024', '10']",2024-10,2024-10-01
20240619,['20240619'],20240619,2024-06-19
2024-07-22,"['2024', '07', '22']",2024-07-22,2024-07-22
2025-04,"['2025', '04']",2025-04,2025-04-01
20241229,['20241229'],20241229,2024-12-29
20260201,['20260201'],20260201,2026-02-01
2025/08/22,"['2025', '08', '22']",2025-08-22,2025-08-22
2026/04,"['2026', '04']",2026-04,2026-04-01
2024/07,"['2024', '07']",2024-07,2024-07-01
2024.08,"['2024', '08']",2024-08,2024-08-01
2026-04,"['2026', '04']",2026-04,2026-04-01
06/05/2025,"['06', '05', '2025']",06-05-2025,2025-06-05
20251215,['20251215'],20251215,2025-12-15
2026/04,"['2026', '04']",2026-04,2026-04-01
2024년10월20일,"['2024', '10', '20']",2024-10-20,2024-10-20
2025/05/19,"['2025', '05', '19']",2025-05-19,2025-05-19
2024-11,"['2024', '11']",2024-11,2024-11-01
2025/06/22,"['2025', '06', '22']",2025-06-22,2025-06-22
12/06/2025,"['12', '06', '2025']",12-06-2025,2025-12-06
2024년08월03일,"['2024', '08', '03']",2024-08-03,2024-08-03
2025/05,"['2025', '05']",2025-05,2025-05-01
2025.05,"['2025', '05']",2025-05,2025-05-01
2025/03/01,"['2025', '03', '01']",2025-03-01,2025-03-01
2024/01/03,"['2024', '01', '03']",2024-01-03,2024-01-03
2025.07,"['2025', '07']",2025-07,2025-07-01
2025-10-29,"['2025', '10', '29']",2025-10-29,2025-10-29
2025/07,"['2025', '07']",2025-07,2025-07-01
2025년11월02일,"['2025', '11', '02']",2025-11-02,2025-11-02
2025년03월12일,"['2025', '03', '12']",2025-03-12,2025-03-12
03/24/2026,"['03', '24', '2026']",03-24-2026,2026-03-24
2024.12.27,"['2024', '12', '27']",2024-12-27,2024-12-27
2026-13-40,"['2026', '13', '40']",2026-13-40,
2025년02월16일,"['2025', '02', '16']",2025-02-16,2025-02-16
2025-10,"['2025', '10']",2025-10,2025-10-01
2024.03.28,"['2024', '03', '28']",2024-03-28,2024-03-28
2024년11월20일,"['2024', '11', '20']",2024-11-20,2024-11-20
20240317,['20240317'],20240317,2024-03-17
