date,type,category,amount,content
20240317,spend,lecture,무료,기념일 환불건
2024/04,allowance,transport,248원,
2026년03월24일,출금,bus,99만 원,출장
2024-08-11,used,birthday gift123, 76 ,저녁 #9
2025.10.16,other,rent,211000,기념일
07/16/2025,출금,water bill,-3원,교통비
2026/03/07,출금,internet,57000,병원 환불건
2026/01,용돈,bakery,49만 원,마트 장보기 urgent
2024/06,payment,snack123,249천원,점심 확인필요
2024-04-22,expense,travel123,154원,월급 memo
2024년03월28일,입금,tuition,15만 원,점심
20240415,출금,cafe!!, 91 ,병원 환불건
2024년04월22일,salary, train ,236원,
20250314,refund,starbucks,225원,온라인 주문
2024.06.01,allowance,flight,"1,2,3",친구 만남
2025-01,allowance,income bonus,약 206만,게임 결제 카드
2025년07월03일,입금,dog food,1000,게임 결제
2026/99/99,refund,dessert123,-15원,환불
2025-03, Income ,groceries,8원,점심
2025.04.26,spend,congrats,4000,저녁 카드
2025/02,used,hotel,182000,친구 만남 확인필요
2024년05월08일,income,Cafe, 81 ,저녁 확인필요
2024/04/21,입금,rent!!,28원,마트 장보기 카드
2024년02월03일,입금,FUEL,242000,병원 #9
2025-02,expnse,fashion,-129원,병원 현금
02/08/2024,용돈,gift,-56원,교통비 카드
20250915,other,,241천원,병원 #4
2025/09/13,수 익,salary,223000,친구 만남
06/22/2024,salary,SHOPPING,118000,월세
2025-05-14,salary,vacation,94만 원,친구 만남 카드
2025-11-29,expense,LECTURE,75천원,카페 환불건
2024.12,used,Cafe,197천원,여행 준비 #8
2025/05/02,income,Salary,약 9만,기념일 환불건
2024-08-04,expnse, shop ,"1,2,3",
2025/04,spend,Food,-247원,수업 환불건
2026.03.13,,birthday gift,3천원쯤,환불 memo
abcd,,medical123,약 116만,월급 #1
2024/07,buy,latte!!,174만 원,
01/17/2024, Expense ,event gift,213만 원,월급 환불건
20240630,출금,tour, 73 ,월급
not_available,출금,birthday gift,abc123,마트 장보기 #7
20250410,bonus,pharmacy,106.6,
20240817,salary,flight,"1,2,3",
31/31/2026,수입,cat snack,111000,병원 현금
2025/10,??,shop,??,병원 카드
2024년11월26일,income, birthday gift ,약 140만,
2026.01.30,expnse,shop!!,77000,병원
2024-05-27, Expense , bus ,230000,
2024/07,income,MONTHLY PAY,97.7,점심 현금
2024/02/02,other, transport ,238원,환불 memo
2024-08-10,bonus,present123,245원,월세 확인필요
2025년02월13일,bonus,congrats,3천원쯤,게임 결제 환불건
02/04/2026, Expense ,Salary,-162원,온라인 주문 urgent
20251022,income,hotel,63원,여행 준비
2024-01,입금,LECTURE,55만 원,친구 만남 확인필요
2024년11월23일,용돈, fashion ,154000,마트 장보기 현금
04/17/2025,allowance,transport,abc123,
01/10/2026,payback,train,십만원,월급 현금
2024-08-17,buy,fashion!!,-,점심 urgent
2024/02/14,salary,fashion123,36만 원,환불 환불건
20250618,용돈,clothes,24000,카페
abcd,income,pay,무료,여행 준비 환불건
2025/05/31,??,netflix,200천원,
12/03/2025,수 익,bakery,62원,게임 결제 환불건
20240501,allowance,income bonus,113000,
2026/01,bonus,uber,111원,
2024년04월23일,income,Cafe,226만 원,월급 urgent
2024년06월24일,salary, rent ,180만 원,카페 memo
2024.06.19,용돈,groceries,십만원,점심 환불건
2025년05월15일,expense,cat snack,-43원,여행 준비 환불건
07/12/2025,spend,dinner,-133원,게임 결제 urgent
2026-01-15,allowance,tuition, 190 ,친구 만남 확인필요
20241007,used,dog food123,228000,온라인 주문 #5
, Expense ,income bonus,74원,
2024.05,spend,present,205000,월급 환불건
2025-03,expense,latte, 129 ,친구 만남
2024/07, Expense ,groceries,174만 원,월급 urgent
2024/06,지출,course123,52000,
2025.10,출금, movie ,81만 원,기념일 환불건
2025.02,수입, flight ,233000,환불 현금
2024/02,income,vacation,not_available,월급 현금
2026/99/99,지출,hospital,-144원,환불 urgent
2024.01,payment, FOOD ,25000,not_available
2025-02-04,other,coffee,211만 원,월급
2024.07.08,payment,birthday gift!!, 75 ,온라인 주문 확인필요
2024.04,allowance, mart ,149000,월세 memo
2025.04,refund,vacation!!,135천원,
2024-12,buy,tour,-235원,교통비 카드
2025-12,지출,FLIGHT,??,게임 결제 memo
2026년03월01일,refund,netflix,십만원,친구 만남 memo
2024.01.31,용돈,birthday gift,126천원,교통비 카드
2024/07/15, Expense ,trip,105만 원,게임 결제 #4
20250430,입금,book,224원,
2024/11/01,bonus,TRAIN,약 75만,친구 만남 urgent
,수입,cat snack,,온라인 주문
2024년09월24일,income,train,225원,저녁
2025/09/04,used, rent , 58 ,카페
31/31/2026,출금,gift,"1,2,3",수업
2024-04,payback,meal!!,59천원,저녁 #1
2024-03-19,refund,clothes,75원,친구 만남 urgent
2024.07,지출,study,200만 원,온라인 주문 카드
2024-02,expnse,CONCERT,약 216만,출장 memo
2026.03.17,bonus,event gift,not_available,마트 장보기
2025/09,출금,meal!!,111만 원,not_available
2024-01,other,dog food,213만 원,저녁 카드
01/08/2026,used,birthday gift,246천원,환불 urgent
2024/10/07,incomee,FASHION, 69 ,점심 urgent
11/24/2024,used,salary,123만 원,친구 만남 현금
2024.03,salary,Salary!!,224만 원,
2024.02.09,used,restaurant,십만원,not_available
20241227,payment,restaurant,61000,수업 확인필요
2024-05-26,payback,monthly pay,76만 원,not_available
2025-08-28,bonus,cat snack,150원,친구 만남 #2
20250811, Expense ,pet,134천원,마트 장보기 memo
2026-02,payback,clinic,105천원,기념일 현금
2026/03,refund,study,156000,친구 만남 확인필요
2024.05,payment,movie,196만 원,환불 확인필요
2026-13-40,??,gas, 103 ,여행 준비 현금
2024-04-20,payback,netflix,194천원,친구 만남
2025.01,용돈,,60000,수업 memo
2026.02.14,unknown,study,158000,마트 장보기 환불건
06/22/2024,other,clinic,53만 원,저녁 카드
2024.01,expense,fashion,213천원,월급 확인필요
2024.03.29,expnse,Shopping,20000,친구 만남
20251223,수입,gift,63원,출장 환불건
2026.04.13,spend,gift,192000,출장
2024/09,payment,income bonus,77.4,병원 카드
2024년04월08일,salary,bonus123,46천원,병원 환불건
2025/05,expense,taxi,16만 원,수업 환불건
2024-09-23,bonus,travel,147.8,여행 준비 현금
2026-01-09, Expense ,water bill,168원,교통비 확인필요
08/22/2024,지출,coffee,not_available,병원
2024-11-04,bonus,gift,103원,친구 만남
2025/12,수입,Cafe,-50원,수업
2025년04월14일,입금, fashion ,144000,카페
2026/01,incomee,groceries!!,-102원,월급 memo
2025/10/07,refund,income bonus123,-158원,카페 환불건
2024-11,expense,gas,-54원,여행 준비 memo
20250509, Expense ,movie,42만 원,월급 확인필요
20251003,출금,Shopping,237.4,기념일
2025년12월02일,지출,mart,-238원,교통비 환불건
abcd,용돈,lunch,25만 원,월세
2025년07월26일,income,water bill, 150 ,온라인 주문 카드
2024/07/26, Expense ,utility123,12..3,여행 준비 현금
2025년04월29일,bonus, clinic ,1000,월세 환불건
2025/05/27,allowance,monthly pay,134000,
2024.08.07,incomee,dessert,202000,기념일
2025-04,payment,dessert,3000,마트 장보기
20240916,수 익,congrats, 179 ,점심 현금
2025.05.17, Expense ,eatout,189원,월급 환불건
2024-03,수입,trip,-86원,교통비 카드
2026-02-30,income, vacation ,45천원,수업
2025-07,용돈,gift,30.2,점심
2025.01,bonus,present,80원,환불 확인필요
07/11/2024,buy,electricity123,149천원,교통비 현금
2025년07월04일,,tour,약 180만,온라인 주문 카드
2024년09월21일,expense,dog food,83천원,저녁
2024.01.09,지출, FOOD ,120만 원,월세 확인필요
09/06/2024,지출,BONUS,-60원,수업 urgent
2025-02-14,refund,dog food,36원,친구 만남
2025/04,income, coffee ,무료,카페 카드
2025-01-18,지출,gas,172천원,월급
2024/05,spend,hobby,abc123,점심 현금
2024-08,수입,vet,36천원,
2024-04,refund,online shopping,9000,병원
2024-03, Expense ,salary,130천원,병원
2024/09/21,used,flight,249천원,병원
2026-02-30,payment,fuel,11원,기념일 확인필요
2024-10-30,buy,salary,10만 원,not_available
2024.09.11, Income ,bakery,249천원,월세
2024.02.09, Expense ,gift,78천원,
2024/09/20,출금,lecture123,132만 원,저녁 현금
2026/02,refund,gift,174000,
2026/03,spend, train ,182000,
2025.12,지출,INCOME BONUS,-89원,게임 결제 카드
2025/11,income,bus,89원,마트 장보기 memo
2025-04-23,입금,fashion,약 193만,카페 카드
2025/09/13,bonus,,-197원,수업 #6
09/05/2025,payback,congrats,58.7,월세
20240104,used,gift,250천원,not_available
20250916,수 익,salary,146만 원,점심 카드
2024.07.16,payment,present,229원,월세
2025/05/27,지출,course,-2원,게임 결제
20240923,입금,transport,16000,저녁 확인필요
2025.06, Expense ,hotel,203원,여행 준비 #3
08/03/2024, Income ,event gift,88000,온라인 주문 현금
2026-13-40,salary,clothes,184원,월세
2025.12.12,salary,UTILITY,78원,
20250604,입금,utility,134천원,교통비 환불건
2025-01-23, Expense ,mall!!, 200 ,게임 결제 현금
20240113,payment,snack,130원,친구 만남 환불건
2024년09월10일,refund,present!!,46원,친구 만남
20240515,bonus,fuel,201원,게임 결제 환불건
2026-13-40,입금,bonus,221.7,월세 urgent
09/07/2025,buy,,68.3,마트 장보기
2024.07,수입, COFFEE ,78원,교통비
08/06/2024,지출,movie,54만 원,병원
2024-06,,flight,239000,기념일 urgent
2024-12,출금,FLIGHT,약 15만,월세
2024년07월26일,spend,shopping,84만 원,월세
2026-13-40,용돈,vet, 200 ,게임 결제 urgent
2025/08,income,clothes,121원,수업
2025년08월10일,used,uber,177원,여행 준비 환불건
2024.08.07,bonus,mall,66만 원,수업 확인필요
2026-03-28,expense,CAT SNACK,약 9만,게임 결제 현금
2024/03/09, Expense ,vacation,abc123,친구 만남 urgent
2026.01.26, Expense ,train,-190원,not_available
2024/01,bonus,starbucks,197000,기념일 #3
07/30/2024,income,travel,245원,출장 urgent
2024년10월04일,??,clinic,-32원,출장
2025년02월12일,allowance,Food, 149 ,월급 현금
2024/11, Income ,electricity123,abc123,
2025/03,unknown,Shopping,77000,병원
2024-10,bonus, FOOD ,-121원,
01/27/2026,allowance,game,-39원,월급
2024/11,spend,food, 9 ,병원
2024-01, Expense ,Food,107.8,점심 환불건
2024.09.20,수입,bus,219만 원,환불
2026/01,입금,starbucks, 85 ,온라인 주문 memo
2025.11.08,expense,movie,4원,
2024/06,입금,hotel,249만 원,온라인 주문 환불건
20241013,other,tuition,198만 원,여행 준비 urgent
2026/99/99,expense,book!!,29원,기념일 환불건
20240325,수입,tour!!,-,저녁 memo
20251211,refund,coffee,39만 원,출장
02/14/2025,수입,netflix,77원,마트 장보기 현금
2024-03-09,buy,trip,약 244만,수업 현금
2024/12/24,salary,salary,173원,여행 준비
2025/06/20,used,bonus,157천원,
2026-01,expense,Shopping,44.7,월급 현금
2025년01월06일,used,NETFLIX,십만원,온라인 주문 memo
2024-09, Income ,game, 112 ,게임 결제 현금
20250119,출금,eatout,26만 원,기념일 확인필요
2024-02,used,pet,-161원,출장
2024/12/02,allowance,concert,약 91만,저녁 환불건
10/12/2025,buy,vacation,193000,친구 만남 memo
2026년01월27일,salary,gift,128만 원,게임 결제 memo
2025.01.05,other,starbucks,144000,친구 만남
,expnse,shop,102원,마트 장보기 memo
2025-03-29,refund,shopping,57000,출장
2024.01,출금,taxi,149천원,병원 memo
2024/09,bonus,Shopping,-221원,환불 카드
2025-07,입금,mall,14천원,친구 만남
2025-07-26,used,book,십만원,점심 확인필요
2024/05,용돈,congrats,225만 원,여행 준비 현금
31/31/2026, Income ,hospital,188000,교통비
2025/05/21, Income ,vet,122원,기념일 확인필요
2025/05/26,allowance,Shopping,135000,저녁
2025-06-25,allowance,vacation,245원,출장
2024-06,used, lecture ,8만 원,월급 urgent
2025.11.30,buy,game,236000,병원
2024-03,refund,flight,92원,월급
20241124,출금,tuition,51000,병원 환불건
not_available,용돈,mart, 198 ,
2024/07/11,입금,dog food,137원,기념일
2025/12,buy,gift,??,친구 만남 환불건
2025-10-17,allowance,gift,무료,여행 준비 확인필요
2025/01,refund,uber, 147 ,온라인 주문
2025/02,bonus,concert,102원,카페
2026.03,수입,congrats,178천원,온라인 주문
2024/07/25,used,transport,무료,
2024/03/26,입금,present,약 170만,출장
2024-06,spend,electricity!!,101천원,카페 #3
2026.01,용돈,starbucks,247000,점심 memo
2024/05/26,expense,transport,31.0,게임 결제 urgent
2025.01,??,uber,117천원,기념일
2026.01.18,,tuition,77원,카페
2024년12월27일,,netflix,94000,출장 #4
2025년08월05일,expnse,train,-196원,병원 환불건
2025.10,입금,coffee,169천원,월세 #1
2025.11.14,입금,hobby,106000,게임 결제 현금
20250919,expense, travel ,not_available,기념일
2024/11/10,payback,flight,75000,환불 확인필요
2025/09,수입,congrats,250원,월급
2025/04,expense,hotel,47천원,
2025-11, Expense , clinic ,101.1,출장 urgent
2026/03/16,용돈,gas,65000,점심 memo
2024년02월23일,spend,BONUS, 195 ,저녁 현금
,allowance,pay, 70 ,수업 memo
12/20/2024,used,groceries,약 만원,월급
2024년04월19일,payback,taxi, 3 ,친구 만남 현금
2025-04, Expense ,FOOD,21000,수업 #4
not_available,수입,trip,181000,저녁
2024.03.22,other,taxi,20000,카페 확인필요
08/29/2025,spend,clothes,168.4,저녁 환불건
2026-01-20,출금,tour,173원,기념일 현금
2024.11,용돈,mart,49000,수업 환불건
2026/03,used,dessert,??,환불 memo
31/31/2026,buy, coffee ,39000,교통비 카드
2024.07,used,trip,약 91만,
05/03/2025,수입,study,162원,수업 현금
2024-10,buy,SALARY,64000,여행 준비 urgent
2025-08,buy,dog food,-209원,점심 카드
2025.01.28, Expense ,income bonus,187000,온라인 주문 memo
2024.03,income,vacation,약 70만,출장 현금
2024-10-29,payment,uber123,-180원,
05/27/2024,allowance,Salary,41만 원,온라인 주문 urgent
2025.09,입금,FOOD,123천원,점심 memo
2024-11-30,지출,transport,??,환불
2025년12월31일,payback,rent,127천원,
2026/03, Expense , game ,67000,
2024-01-25,payment,meal,245.8,병원 카드
2025-05-19,출금,meal,150천원,기념일
20240604,입금,train,-52원,온라인 주문
2025-04-07,출금,food,무료,마트 장보기 현금
2025.01,bonus,hotel!!,not_available,여행 준비 환불건
2025-02,출금,bakery,약 204만,월급
01/12/2024,other,birthday gift,-,수업
2025-10-31,income,utility123,약 228만,점심
not_available,used,,123원,병원
abcd,출금,eatout,-246원,게임 결제 urgent
2026/99/99,??,salary,3천원쯤,게임 결제
2024-03,used,clothes, 83 ,병원 환불건
02/24/2026,용돈,bonus,십만원,기념일 환불건
2025.11.27,지출, tour ,-162원,환불 확인필요
abcd,expense,transport123,242원,여행 준비
2026-03,출금,flight!!, 105 ,월세 #3
20260323,used,lunch123,212000,출장
not_available, Income ,salary,104원,기념일 urgent
2025.08,expense,groceries,abc123,월급 현금
2024.12,,salary,22000,월급 확인필요
2024.09,salary,event gift!!, 3 ,점심 환불건
2026-13-40,출금,pet123,12..3,마트 장보기
2024/12,refund,clinic,-100원,병원 urgent
2024.12,용돈,hospital,243만 원,
2026/03,수입, internet ,72천원,친구 만남 memo
2025년06월03일,??,Cafe, 115 ,게임 결제
20240428,bonus,DESSERT,not_available,점심
2024.09,payment,pay!!,142만 원,환불 카드
2026/02/17, Expense ,dessert,-58원,저녁 확인필요
2026-02-30,지출,taxi,약 158만,교통비 현금
2025/05/24,expense,bus, 198 ,월세 urgent
2025-09,incomee,vet,177만 원,환불 memo
abcd,수 익,gift123,70.9,여행 준비 현금
2024년11월09일,출금,gas,157.2,출장 카드
2024.07,buy,congrats,203만 원,게임 결제 #6
01/04/2026,,starbucks,248천원,친구 만남 urgent
20250410,spend,Salary123,약 161만,병원
2024-05,expense, lunch ,-33원,출장 현금
not_available,입금,electricity123,155만 원,카페
2024년11월20일,allowance,transport,3천원쯤,게임 결제
2025년02월20일,입금,,약 만원,병원 #8
2024/03,used,income bonus,십만원,수업 memo
20250526,used,shop, 179 ,출장 memo
09/11/2024,출금,salary, 166 ,병원 memo
2025/05,출금,clothes!!,67천원,출장 확인필요
2026년02월17일,refund,BIRTHDAY GIFT,십만원,수업
2024.11.15,payment,pet,약 224만,게임 결제
2026년04월07일, Expense ,lunch,-32원,교통비 카드
2024-09-08,refund,pet,101원,
2024년05월15일,지출,mart123, 29 ,저녁 확인필요
2024.10,used,income bonus,135천원,병원 카드
20240619,buy,book,77원,마트 장보기
2024-07-22,refund,subway,63원,온라인 주문 확인필요
2025-04,used,meal,237원,병원
20241229,expense,movie,237만 원,
20260201,income,birthday gift,-86원,마트 장보기
2025/08/22,used,transport,192만 원,
2026/04,용돈, utility ,24만 원,저녁
2024/07,출금,study,235000,저녁 환불건
2024.08,??,MOVIE,231000,게임 결제 현금
2026-04,지출,birthday gift,-153원,수업 urgent
06/05/2025,출금,uber,211원,카페
20251215,출금,hobby,??,친구 만남
2026/04,용돈, water bill ,약 226만,출장 확인필요
2024년10월20일,buy,train,26원,not_available
2025/05/19,incomee,BOOK,35000,기념일
2024-11,입금,EATOUT,203원,월급 현금
2025/06/22,spend,income bonus, 199 ,
12/06/2025,payback,event gift,131000,수업 urgent
2024년08월03일,buy,eatout,115원,여행 준비 현금
2025/05,수입,utility,94원,저녁 확인필요
2025.05,출금, electricity , 248 ,교통비
2025/03/01,지출,coffee,72.2,기념일 현금
2024/01/03,payment,online shopping,152만 원,저녁 현금
2025.07,payback,bus,238천원,여행 준비 환불건
2025-10-29,spend,restaurant!!,211천원,친구 만남 카드
2025/07,salary,medical,170만 원,병원 memo
2025년11월02일,allowance,present,??,교통비 urgent
2025년03월12일,지출,online shopping,164원,점심
03/24/2026,unknown,rent,137천원,온라인 주문 memo
2024.12.27,bonus,shopping,-249원,
2026-13-40,수입,dog food,162000,수업 카드
2025년02월16일,입금,vacation,무료,게임 결제 환불건
2025-10,income,cafe,약 만원,수업 memo
2024.03.28, Expense ,pay,195000,not_available
2024년11월20일,allowance,TRAVEL,약 247만,환불 memo
20240317,용돈,FASHION,84000,
2025/06/21, Income ,water bill,55만 원,
2026/99/99, Expense ,cat snack,26.0,친구 만남 urgent
2024/05/20,입금,salary,139원,카페 memo
2025/10/26,expense,present, 222 ,온라인 주문 환불건
2024/03,allowance,uber,152천원,월급 urgent
2025-05-24,,congrats, 209 ,환불 #1
2026-02-01,출금,starbucks,167000,수업 memo
2024.05.27, Expense ,electricity,71천원,출장 memo
2025년11월12일,spend,shopping,201.0,출장
05/24/2024,allowance,HOBBY, 78 ,온라인 주문 확인필요
2025년05월06일,buy,bakery,142만 원,기념일 urgent
20241005,출금,bus123,208000,교통비 카드
not_available,수입,shopping,188000,온라인 주문 확인필요
2025-09,용돈,LATTE,-121원,수업
2024.04.15,income,income bonus,약 만원,환불 #4
2024-04-09,입금,mart,무료,온라인 주문 #9
2026-02-30,refund,gift,-56원,카페
2024-12,buy,EATOUT,-45원,not_available
2026년04월27일,salary,event gift!!, 31 ,마트 장보기
2024.06,refund,subway,28원,수업 확인필요
2026.04.12,수입,cat snack,153만 원,수업 현금
03/31/2025,입금,gift,198만 원,월급
20251218,unknown,monthly pay,35원,환불
20250913,payment,dinner,십만원,교통비 확인필요
2024.07.29,payment, restaurant , 109 ,여행 준비
2024-12-11,income, hospital ,-191원,출장
2025-07,입금,latte,204.4,친구 만남
20250813,used, travel ,74만 원,게임 결제 카드
2024-01-27,expense,dessert, 93 ,병원 #2
03/27/2026,지출,dinner,148천원,
2025.10,bonus,fuel,-5원,교통비
31/31/2026, Income , internet , 136 ,교통비 환불건
20240911,bonus,snack123,17원,교통비 현금
11/13/2025,refund, monthly pay ,217만 원,온라인 주문 환불건
2026/04,allowance,hotel,11000,기념일 카드
2024년10월27일,expnse,groceries,72.8,점심
20250723,spend,bakery, 173 ,
02/28/2024,bonus,hotel,151000,카페
2026-02-30,used,hospital,152원,환불 memo
2024/02, Expense ,vet,100원,점심
2024-01-28,지출,clinic,4000,게임 결제 urgent
2025/09/02,,dog food,89원,
2024/03/13,spend,mall!!,-88원,수업
2024년06월10일,buy,bonus,24000,
01/18/2026,수입,gift,-200원,수업
2024/04/08,출금,hospital,15만 원,친구 만남 확인필요
2025/04/11,bonus,coffee123,-14원,월급 환불건
2025.07.28,spend,Food123,-2원,여행 준비 #5
20251114,buy,coffee,32원,점심 카드
2025/08/01,spend,groceries,43천원,수업 urgent
2025.10,수입,train,146000,점심 urgent
2026년03월22일,??,,249천원,저녁 현금
2025.07, Income ,salary,56000,카페 현금
2025년10월27일,buy,transport,212원,월급 현금
2024-12-15,buy,hotel,170000,병원 확인필요
2026년04월29일,용돈,clinic,81만 원,온라인 주문 urgent
2024년06월01일,spend,rent,43천원,not_available
2025/03,,Food,129000,
2025-09,expense,snack,72원,여행 준비 환불건
20240630,입금,GAME,164000,
03/29/2025,income,game, 106 ,친구 만남 환불건
2024.02.18, Expense ,rent,137000,월세
2024-11,buy,salary,119원,교통비
2024/01,allowance, train ,약 147만,월세 카드
2024-09-27,buy, rent ,131원,마트 장보기 #1
11/29/2025,출금, FOOD , 128 ,점심
20260420, Expense ,fashion,-189원,월세 확인필요
20240825, Income ,lecture,8000,점심 현금
2025/10, Income ,gift,61.8,점심
2024/05/27,buy,congrats, 101 ,not_available
2025/04/03,출금,gift,45원,병원 현금
20250724,spend,uber,244원,not_available
2024년02월04일,출금,cat snack,34000,친구 만남 urgent
20251003,expense,salary,230만 원,교통비 현금
2025/01/24,unknown,netflix,139원,게임 결제
2025년08월13일,expense,cat snack,약 만원,카페
2024-01,출금,train, 8 ,교통비 memo
20240705,입금,latte,48만 원,온라인 주문 #7
20240718,수 익,electricity,약 만원,여행 준비
2024/12,입금,taxi,136만 원,월급 확인필요
2024.01,출금,CAT SNACK,-125원,점심 urgent
20240502, Expense ,medical,51만 원,온라인 주문
2024/08,payback,dinner, 56 ,수업 카드
31/31/2026,지출,uber, 222 ,친구 만남 memo
20250127,unknown,fuel,214원,환불 카드
2026-02,refund,vet,-222원,월세 환불건
2024.06.20,지출,congrats,151천원,마트 장보기 카드
2025/09/21,incomee, shopping ,226원,카페
2024/05/14,지출,dinner,무료,교통비 urgent
20250616,출금, event gift ,약 177만,월세 확인필요
2024.01.07,수입,,18만 원,월급 #3
2024년05월09일,expense,BUS,227원,교통비 카드
20240125,용돈,gift,47.7,기념일 urgent
2025.01.23,expense,bus,-172원,카페 확인필요
31/31/2026,용돈,GAME,51천원,교통비 memo
2024년06월07일,buy,concert,164000,교통비 memo
20240907,수입, electricity , 119 ,병원 #5
2025-08,salary,flight,47.9,월세
2025/03/26,payback,fuel,185원,여행 준비 현금
2025년06월15일,income,clinic, 203 ,
2024-02-08,수입,tour,130.7,기념일 memo
20251014,income,CLINIC,약 61만,여행 준비 환불건
31/31/2026,payment,PET,148원,기념일
05/04/2025,payment,trip,121원,월급 확인필요
2026-13-40, Expense ,groceries,36원,친구 만남
2024.04.17,unknown,gift,-170원,카페 현금
2024-08-07,bonus,mall, 117 ,월급 urgent
04/02/2024,수입, birthday gift ,3만 원,마트 장보기
31/31/2026,지출,electricity,약 만원,
2026-01,입금,Food!!,37000,여행 준비 memo
2026.02.19,income, FOOD ,239원,게임 결제 카드
2024.03.02,expense,gift,6천원,월급 memo
2024-06-11,salary,FOOD,232천원,월세 확인필요
2024/11/11,입금,,243000,온라인 주문 확인필요
not_available, Expense ,PET,"1,2,3",병원
20250309,income,tour,38만 원,여행 준비 환불건
,용돈,groceries,249원,온라인 주문 urgent
2025.02.14,bonus,gas, 136 ,온라인 주문
2025-07-28,bonus,bakery,228천원,친구 만남 #9
2025.12,income,netflix,85만 원,
not_available,입금,salary,약 만원,친구 만남 현금
2026-13-40, Expense ,cafe123,-10원,게임 결제 현금
2025년05월19일,payment, monthly pay ,155만 원,병원
2024-10-20,spend,trip, 54 ,마트 장보기 현금
2024/01/16,spend, monthly pay ,14만 원,교통비
2024-06-11,spend,bus!!,193만 원,월세
abcd,expnse,cat snack,-209원,
02/12/2025,refund,groceries,134만 원,월세 memo
20240112,income,snack,-24원,친구 만남 현금
2026/02/21,수 익,cat snack,109만 원,병원
2025-08, Income ,travel,91천원,카페 환불건
20260407,지출,rent,205.6,수업 현금
2025년07월13일,출금,income bonus,not_available,병원
2024년12월30일,출금,SUBWAY,-246원,카페 확인필요
2024/09,used,SNACK,23000,카페 현금
2024년06월16일, Expense ,monthly pay,??,not_available
20250723,payback,clinic,193000,월급 memo
07/16/2024,입금,travel,230.1,온라인 주문 현금
2025-10-07,expense, hobby ,114000,카페 현금
2025/02,수 익,birthday gift,약 179만,월세 카드
2024/11/15,입금, shopping ,185만 원,게임 결제 #6
2025-01-25, Income ,monthly pay,153만 원,출장 memo
2025.12.27,입금,shopping,not_available,마트 장보기 urgent
08/17/2025,salary,concert,143만 원,여행 준비 urgent
04/19/2026,payback,bonus,abc123,여행 준비 #4
2026-04-04,payment,water bill,201원,여행 준비
2025-10,지출,food,42.1,월세 환불건
04/30/2025,payback, salary ,약 182만,
05/30/2025,출금, hospital ,102천원,출장
2025.01,unknown, electricity ,203000,친구 만남
2024년02월24일,payment,concert!!, 151 ,월세 memo
2025.10.12,salary, tuition ,-178원,기념일
abcd,payback,bonus,217.1,월세 카드
2026.01, Expense ,flight, 76 ,교통비 #1
20250722,refund,concert,-16원,
2024-09-09,bonus,taxi,213원,카페
31/31/2026, Expense ,event gift,132.6,온라인 주문 memo
2025-03-13,payment,rent, 116 ,not_available
2026-02,입금,fuel,66.6,수업 카드
2026-02-21,payback,present,abc123,카페
20250904,출금, tuition , 143 ,카페 현금
2024/06/03,expnse,snack,226만 원,저녁 #9
2024-05-04,expense,CAFE,99천원,not_available
31/31/2026,used,hospital,49천원,카페 urgent
2025년10월27일, Expense ,travel,-201원,출장 urgent
2025-08, Expense ,cafe,235000,여행 준비 환불건
2024-12-05,unknown,event gift,not_available,기념일
2025년12월21일,unknown, cat snack ,237.4,점심 카드
2025/03,spend,income bonus,104원,카페 확인필요
2025/06/16,used,PHARMACY,110000,월세
2024.08.30, Income ,congrats,134만 원,점심
2024-01,unknown,water bill,31천원,환불 urgent
2024/07/08,수입,eatout,36천원,게임 결제 카드
2025-04-05,spend,water bill,12..3,게임 결제 memo
2025.06.01,입금,hotel,3천원쯤,
2024/03,payback,groceries,72.7,여행 준비
abcd,buy,mart123,108원,기념일 환불건
31/31/2026,수입, travel ,250원,월급 memo
2024-03-23,payment,movie,12원,
2024-11-17,용돈,gift,80만 원,환불 환불건
2025년07월22일,출금,,30천원,환불 #8
20260410, Income , shopping ,170만 원,월세 #5
2026-03,payment,dessert,약 70만,월세 현금
01/04/2026,payment,latte,205.4,저녁 memo
31/31/2026,spend,concert,21천원,교통비 현금
2026/99/99,other,monthly pay,약 171만,친구 만남 환불건
2025/02/01,expense,hotel,100원,점심 현금
2024-08,spend, FOOD ,171원,기념일
2025-03-03, Income ,tour,약 89만,온라인 주문 현금
03/24/2025,용돈,monthlypay,153만 원,기념일 #1
2026/04/29,allowance,birthday gift!!,185원,점심 memo
2024년02월02일,spend,uber,245000,교통비 memo
2026년02월07일,expnse,cafe,not_available,점심 확인필요
20260424,수입,pay123,230000,환불 #4
10/22/2024,지출,hospital,195.2,not_available
2024-12-22,bonus, water bill ,74원,저녁 현금
2024년06월02일,spend,FOOD,147원,저녁 #6
31/31/2026,수 익,cat snack123,232원,환불 urgent
2024.12,입금,fuel,48원,수업
2024년08월24일,refund,study,20000,환불 환불건
2026-03,payment,pet,246원,교통비 memo
2025/06/21,used, internet ,,기념일 카드
2026-01,used,Salary,12..3,여행 준비 환불건
2026년04월07일,allowance,bakery,71000,월급
2026.02,income,starbucks,약 215만,저녁
05/13/2025,buy,PET,245000,점심
2025년10월11일,other,course,113천원,월급 memo
2024.02.12,출금,snack123,약 175만,
2025년09월01일,,fashion,12..3,점심 현금
2026-02-30, Expense ,INCOME BONUS,-150원,점심 #5
20260129, Expense , Salary ,무료,점심
